T,P,rho,h,cp,mu,k
713.0,23.0,100.58359409100089,2948421.962941981,4994.942213226732,2.8259106518950143e-05,0.1022067966591147
714.0,23.0,100.09134510486047,2953394.8193003237,4950.977981950421,2.8290849404748054e-05,0.1019312014523435
715.0,23.0,99.60770496915852,2958324.3251993866,4908.232737858133,2.8322879166530667e-05,0.10166823951082805
716.0,23.0,99.13239886718823,2963211.674440961,4866.656586618524,2.835518338497717e-05,0.10141158300847568
717.0,23.0,98.66516459685127,2968058.01232754,4826.202390554792,2.838775028629265e-05,0.1011639227767101
718.0,23.0,98.20575181825237,2972864.4383217157,4786.825576971861,2.842056870085673e-05,0.10092492898307096
719.0,23.0,97.75392135635686,2977632.008522061,4748.483962478095,2.845362802504811e-05,0.10069428879106358
720.0,23.0,97.30944455395301,2982361.7379706684,4711.137591751354,2.8486918185960882e-05,0.10047170525560639
721.0,23.0,96.87210267062801,2987054.602806105,4674.748589369267,2.8520429608756435e-05,0.10025689630426791
722.0,23.0,96.44168632389466,2991711.5422741952,4639.281023473866,2.8554153186422085e-05,0.10004959379658539
723.0,23.0,96.01799496897188,2996333.460607939,4604.700780171576,2.858808025172864e-05,0.09984954265453021
724.0,23.0,95.60083641406108,3000921.228786771,4570.975447685896,2.8622202551201087e-05,0.09965650005789309
725.0,23.0,95.19002636825323,3005475.6861844994,4538.07420938197,2.8656512220933262e-05,0.09947023469897102
726.0,23.0,94.78538801947329,3009997.642114332,4505.96774487296,2.8691001764094527e-05,0.0992905260914983
727.0,23.0,94.38675164009746,3014487.877278805,4474.628138497595,2.872566402999014e-05,0.09911716392924144
728.0,23.0,93.99395421810348,3018947.145131552,4444.028794529881,2.876049219455029e-05,0.09894994749012831
729.0,23.0,93.60683911179362,3023376.1731574526,4414.144358544345,2.8795479742134017e-05,0.09878868508216053
730.0,23.0,93.22525572631403,3027775.6640769616,4384.950644416828,2.883062044854471e-05,0.09863319352771607
731.0,23.0,92.84905921033776,3032146.296980104,4356.42456649036,2.8865908365163184e-05,0.0984832976831556
732.0,23.0,92.47811017143017,3036488.7283949987,4328.544076480765,2.8901337804112455e-05,0.09833882999093332
733.0,23.0,92.11227440873107,3040803.593295521,4301.288104736055,2.8936903324376087e-05,0.09819963006165856
734.0,23.0,91.7514226617101,3045091.5060522505,4274.6365054997195,2.8972599718798646e-05,0.09806554428378714
735.0,23.0,91.39543037385137,3049353.0613305327,4248.570005859983,2.9008422001902916e-05,0.09793642545882261
736.0,23.0,91.04417747021604,3053588.834939241,4223.070158095565,2.9044365398463933e-05,0.0978121324600918
737.0,23.0,90.69754814792223,3057799.384633444,4198.119295154837,2.9080425332785376e-05,0.09769252991332897
738.0,23.0,90.35543067865092,3061985.250874034,4173.700489027969,2.9116597418627498e-05,0.09757748789744795
739.0,23.0,90.01771722236279,3066146.9575470844,4149.797511792984,2.9152877449740987e-05,0.09746688166402254
740.0,23.0,89.68430365147383,3070285.0126454826,4126.394799135453,2.9189261390963898e-05,0.09736059137411683
741.0,23.0,89.35508938479197,3074399.908915276,4103.4774161585365,2.922574536984282e-05,0.09725850185121789
742.0,23.0,89.02997723057726,3078492.1244688737,4081.0310253158004,2.9262325668742267e-05,0.09716050234912833
743.0,23.0,88.70887323812798,3082562.123367198,4059.0418563127973,2.9298998717409188e-05,0.09706648633376395
744.0,23.0,88.39168655734898,3086610.3561726473,4037.496677836674,2.9335761085961997e-05,0.09697635127789067
745.0,23.0,88.07832930579013,3090637.260474663,4016.382770983979,2.937260947827588e-05,0.09688999846790694
746.0,23.0,87.7687164426877,3094643.2613895074,3995.6879042677942,2.9409540725738347e-05,0.0968073328218516
747.0,23.0,87.46276564956942,3098628.772035806,3975.400310094482,2.9446551781350915e-05,0.09672826271787681
748.0,23.0,87.16039721702064,3102594.1939872494,3955.5086626092625,2.9483639714154454e-05,0.09665269983248864
749.0,23.0,86.86153393723359,3106539.917703798,3936.002056817553,2.952080170395782e-05,0.09658055898790602
750.0,23.0,86.56610100199072,3110466.3229425927,3916.8699888962983,2.9558035036350063e-05,0.09651175800794128
751.0,23.0,86.27402590575743,3114373.7791497493,3898.102337616126,2.959533709797918e-05,0.09644621758184863
752.0,23.0,85.98523835357932,3118262.645834109,3879.6893468009794,2.9632705372080105e-05,0.096383861135627
753.0,23.0,85.69967017350493,3122133.272923912,3861.621608757762,2.9670137434237143e-05,0.09632461471030329
754.0,23.0,85.41725523326708,3125986.00110739,3843.8900486130856,2.970763094836641e-05,0.09626840684675401
755.0,23.0,85.13792936098103,3129821.1621581046,3826.4859094992794,2.9745183662904808e-05,0.09621516847665697
756.0,23.0,84.861630269628,3133639.079245876,3809.400738535754,2.9782793407193508e-05,0.09616483281919266
757.0,23.0,84.58829748511097,3137440.067234081,3792.6263735558373,2.9820458088044225e-05,0.0961173352831426
758.0,23.0,84.31787227768238,3141224.4329640176,3776.154930532738,2.9858175686477493e-05,0.09607261337405498
759.0,23.0,84.05029759655736,3144992.4755270313,3759.978791661637,2.9895944254623118e-05,0.09603060660617325
760.0,23.0,83.78551800753549,3148744.4865250504,3744.090594057751,2.9933761912773266e-05,0.09599125641884158
761.0,23.0,83.5234796334695,3152480.7503200737,3728.483219033318,2.997162684657952e-05,0.09595450609712242
762.0,23.0,83.26413009742535,3156201.544273261,3713.1497819186843,3.0009537304385785e-05,0.09592030069637875
